Conf,,1,2,3,7,8,9,13,14,15
Order,,-23,-23,-23,-24,-24,-24,-25,-25,-25
Prism angle,,6.997160992,6.997160992,6.997160992,6.997160992,6.997160992,6.997160992,6.997160992,6.997160992,6.997160992
Grism angle,,0,0,0,0,0,0,0,0,0
Field position along Spectral Slicer,,2.310425807,-0.211297312,-2.73256627,2.313012558,-0.208125079,-2.729392843,2.315949374,-0.205187091,-2.726453848
